stock_code,total_return,annual_return,max_drawdown,sharpe_ratio,trade_count
002430,0.0007,0.0002,-0.0484,-0.9664,2
688777,-0.1052,-0.0285,-0.158,-0.9866,3
600126,-0.0116,-0.0025,-0.1188,-0.9945,2
601965,0.0047,0.001,-0.0637,-1.0126,2
000960,-0.0979,-0.0217,-0.1339,-1.0432,3
300972,-0.0071,-0.0021,-0.0665,-1.0437,2
600298,0.0064,0.0014,-0.0371,-1.0583,2
002065,0.0055,0.0012,-0.0718,-1.063,2
600707,-0.0005,-0.0001,-0.0551,-1.0789,2
600516,-0.0122,-0.0026,-0.0528,-1.0814,4
603899,-0.0088,-0.0019,-0.0713,-1.083,2
600808,-0.0208,-0.0045,-0.0453,-1.0955,2
603979,-0.0103,-0.0022,-0.0677,-1.1045,1
600927,-0.0089,-0.0032,-0.0625,-1.1089,2
601991,0.0319,0.0067,-0.0264,-1.1189,2
003035,-0.0325,-0.0089,-0.0749,-1.1283,2
689009,-0.1835,-0.0505,-0.2386,-1.1438,5
002044,-0.1766,-0.0405,-0.1944,-1.1538,3
603160,-0.1511,-0.0346,-0.187,-1.172,5
600906,-0.0257,-0.0076,-0.0743,-1.203,2
002152,0.0344,0.0072,-0.0366,-1.2138,2
002120,-0.1857,-0.0428,-0.1956,-1.2873,5
600583,-0.0156,-0.0033,-0.0366,-1.3063,2
601168,-0.0161,-0.0034,-0.0735,-1.3459,2
600109,-0.0256,-0.0055,-0.0526,-1.3501,2
600704,-0.0318,-0.0069,-0.0598,-1.3707,2
300888,-0.2191,-0.0598,-0.2255,-1.4212,5
600498,0.0128,0.0027,-0.0295,-1.4671,2
600535,0.0,0.0,-0.0318,-1.5449,2
603228,-0.0119,-0.0025,-0.0517,-1.5481,2
600901,0.0411,0.0086,-0.0131,-1.5994,2
603699,-0.0136,-0.0029,-0.0443,-1.615,2
300383,-0.0136,-0.0029,-0.059,-1.664,2
603568,-0.0257,-0.0055,-0.0663,-1.6664,2
002945,-0.0271,-0.0058,-0.0614,-1.667,2
601665,-0.0224,-0.0068,-0.054,-1.7103,2
603589,-0.0381,-0.0082,-0.0466,-1.8175,2
300676,-0.015,-0.0032,-0.0662,-1.8548,2
301536,0.0,0.0,0.0,-3.4749155678185016e+16,0
603341,0.0,0.0,0.0,-3.4761323758947304e+16,0
688295,0.0,0.0,0.0,-3.4833695288288056e+16,0
688336,0.0,0.0,0.0,-3.4844465049101324e+16,0
601717,0.0,0.0,0.0,-3.4846294742243076e+16,0
301611,0.0,0.0,0.0,-4.609885633420878e+16,0
688692,0.0,0.0,0.0,-4.626573378119905e+16,0
688709,0.0,0.0,0.0,-4.635630755047331e+16,0
301498,0.0,0.0,0.0,-4.640491332974644e+16,0
688563,0.0,0.0,0.0,-4.640963998807274e+16,0
688469,0.0,0.0,0.0,-4.641890893963073e+16,0
301301,0.0,0.0,0.0,-4.643065437324885e+16,0
688387,0.0,0.0,0.0,-4.643662463215354e+16,0
001213,0.0,0.0,0.0,-4.645131171130685e+16,0
688425,0.0,0.0,0.0,-4.645334904315817e+16,0
601156,0.0,0.0,0.0,-4.645361780275308e+16,0
688538,0.0,0.0,0.0,-4.64538814658684e+16,0
601880,0.0,0.0,0.0,-4.646148974075453e+16,0
000893,0.0,0.0,0.0,-4.646157488394525e+16,0
601866,0.0,0.0,0.0,-4.646157488394525e+16,0
600995,0.0,0.0,0.0,-4.646157488394525e+16,0
600909,0.0,0.0,0.0,-4.64616593029752e+16,0
600008,0.0,0.0,0.0,-4.64616593029752e+16,0
000750,0.0,0.0,0.0,-4.64616593029752e+16,0
601016,0.0,0.0,0.0,-4.64616593029752e+16,0
601108,0.0,0.0,0.0,-4.64616593029752e+16,0
002500,0.0,0.0,0.0,-4.64616593029752e+16,0
000728,0.0,0.0,0.0,-4.64616593029752e+16,0
002608,0.0,0.0,0.0,-4.646175966286098e+16,0
600873,0.0,0.0,0.0,-4.646175966286098e+16,0
600871,0.0,0.0,0.0,-4.646175966286098e+16,0
600848,0.0,0.0,0.0,-4.646175966286098e+16,0
600863,0.0,0.0,0.0,-4.646175966286098e+16,0
600820,0.0,0.0,0.0,-4.646175966286098e+16,0
002831,0.0,0.0,0.0,-4.646175966286098e+16,0
600959,0.0,0.0,0.0,-4.646175966286098e+16,0
600879,0.0,0.0,0.0,-4.646175966286098e+16,0
600967,0.0,0.0,0.0,-4.646175966286098e+16,0
